Threshold,Precision,Recall,F1 Score
0.0,0.01670976725681321,1.0,0.03287027978869106
0.02040816326530612,0.01991640029505778,0.9642857142857143,0.039026740544447124
0.04081632653061224,0.02440677966101695,0.8571428571428571,0.047462096242584045
0.061224489795918366,0.03018867924528302,0.7619047619047619,0.05807622504537205
0.08163265306122448,0.03889255108767304,0.7023809523809523,0.07370393504059962
0.1020408163265306,0.04838709677419355,0.6428571428571429,0.09
0.12244897959183673,0.06148055207026349,0.5833333333333334,0.1112372304199773
0.14285714285714285,0.07617504051863858,0.5595238095238095,0.1340941512125535
0.16326530612244897,0.08936170212765958,0.5,0.15162454873646208
0.18367346938775508,0.1092436974789916,0.4642857142857143,0.17687074829931973
0.2040816326530612,0.13028169014084506,0.44047619047619047,0.20108695652173914
0.22448979591836732,0.14537444933920704,0.39285714285714285,0.21221864951768488
0.24489795918367346,0.17582417582417584,0.38095238095238093,0.24060150375939848
0.26530612244897955,0.20915032679738563,0.38095238095238093,0.270042194092827
0.2857142857142857,0.23846153846153847,0.36904761904761907,0.2897196261682243
0.3061224489795918,0.25663716814159293,0.34523809523809523,0.29441624365482233
0.32653061224489793,0.27450980392156865,0.3333333333333333,0.3010752688172043
0.3469387755102041,0.3010752688172043,0.3333333333333333,0.3163841807909605
0.36734693877551017,0.2988505747126437,0.30952380952380953,0.30409356725146197
0.3877551020408163,0.325,0.30952380952380953,0.3170731707317073
0.4081632653061224,0.32051282051282054,0.2976190476190476,0.30864197530864196
0.42857142857142855,0.3424657534246575,0.2976190476190476,0.3184713375796178
0.44897959183673464,0.3787878787878788,0.2976190476190476,0.3333333333333333
0.4693877551020408,0.3870967741935484,0.2857142857142857,0.3287671232876712
0.4897959183673469,0.40350877192982454,0.27380952380952384,0.3262411347517731
0.5102040816326531,0.4166666666666667,0.23809523809523808,0.30303030303030304
0.5306122448979591,0.43478260869565216,0.23809523809523808,0.3076923076923077
0.5510204081632653,0.4473684210526316,0.20238095238095238,0.2786885245901639
0.5714285714285714,0.45714285714285713,0.19047619047619047,0.2689075630252101
0.5918367346938775,0.45454545454545453,0.17857142857142858,0.2564102564102564
0.6122448979591836,0.5172413793103449,0.17857142857142858,0.26548672566371684
0.6326530612244897,0.5652173913043478,0.15476190476190477,0.24299065420560748
0.6530612244897959,0.6,0.14285714285714285,0.23076923076923078
0.673469387755102,0.5555555555555556,0.11904761904761904,0.19607843137254902
0.6938775510204082,0.625,0.11904761904761904,0.2
0.7142857142857142,0.7142857142857143,0.11904761904761904,0.20408163265306123
0.7346938775510203,0.6923076923076923,0.10714285714285714,0.18556701030927836
0.7551020408163265,0.7,0.08333333333333333,0.14893617021276595
0.7755102040816326,0.6666666666666666,0.047619047619047616,0.08888888888888889
0.7959183673469387,0.5,0.011904761904761904,0.023255813953488372
0.8163265306122448,1.0,0.011904761904761904,0.023529411764705882
0.836734693877551,0.0,0.0,0.0
0.8571428571428571,0.0,0.0,0.0
0.8775510204081632,0.0,0.0,0.0
0.8979591836734693,0.0,0.0,0.0
0.9183673469387754,0.0,0.0,0.0
0.9387755102040816,0.0,0.0,0.0
0.9591836734693877,0.0,0.0,0.0
0.9795918367346939,0.0,0.0,0.0
1.0,0.0,0.0,0.0
