Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.982892381141834,0.4705882352941176,0.1904761904761904,0.2711864406779661,0.7338311513154726
Decision Tree,0.9703600556992242,0.1717171717171717,0.2023809523809523,0.1857923497267759,0.5927947650838608
Gradient Boosting,0.9844837875472447,1.0,0.0714285714285714,0.1333333333333333,0.7124240147201911
Logistic Regression,0.6395464491744579,0.0273522975929978,0.5952380952380952,0.0523012552301255,0.6668196005895783
Final Tuned Model,0.9818977521384523,0.42857142857142855,0.25,0.3157894736842105,0.7861249193183242
