Model,Version,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Average_Precision,Threshold
Random Forest,Threshold tuned on validation (0.12),0.9761289039188382,0.30851063829787234,0.34523809523809523,0.3258426966292135,0.7730075238673255,0.19806779942911362,0.12
Random Forest (RandomizedSearchCV),Threshold tuned on validation (0.43),0.9801074199323653,0.36666666666666664,0.2619047619047619,0.3055555555555556,0.7809649046752021,0.18706402100151676,0.43
Random Forest (RandomizedSearchCV),Default threshold (0.50),0.9822956037398051,0.4358974358974359,0.20238095238095238,0.2764227642276423,0.7809649046752021,0.18706402100151676,0.5
Random Forest,Default threshold (0.50),0.981698826337776,0.34615384615384615,0.10714285714285714,0.16363636363636364,0.7730075238673255,0.19806779942911362,0.5
Logistic Regression,Threshold tuned on validation (0.76),0.9602148398647304,0.09722222222222222,0.16666666666666666,0.12280701754385964,0.6686355403986397,0.091634883541573,0.76
Logistic Regression,Default threshold (0.50),0.654465884225184,0.02905982905982906,0.6071428571428571,0.05546492659053834,0.6686355403986397,0.091634883541573,0.5
